keys	en	ru
HOW TO PLAY	HOW TO PLAY	КАК В ЭТО ИГРАТЬ
Rikoshet is a game played by a computer. The player draws the playing field, and the computer must pass it. The rules are simple: if a ball hits a figure from the front, then it interacts with it (bounces), and if from behind, then it goes right through. There are only two types of figures:	Rikoshet is a game played by a computer. The player draws the playing field, and the computer must pass it. The rules are simple: if a ball hits a figure from the front, then it interacts with it (bounces), and if from behind, then it goes right through. There are only two types of figures:	Rikoshet это игра, в которую играет компьютер. Игрок рисует игровое поле, а компьютер должен его пройти. Правила простые: если шарик ударяется об фигуру спереди, то он с ней взаимодействует (отскакивает), а если сзади, то проходит насквозь. Есть всего два типа фигур:
Triangles - their front side is the hypotenuse. Having bumped into a triangle, the ball turns 90 degrees.	Triangles - their front side is the hypotenuse. Having bumped into a triangle, the ball turns 90 degrees.	Треугольники — у них перед это гипотенуза. Ударившись об треугольник, шарик поворачивает на 90 градусов.
Flags - their front side is a groove. Having hit the flag from the front, the ball turns straight back.	Flags - their front side is a groove. Having hit the flag from the front, the ball turns straight back.	Флаги — у них перед это канавка. Налетев на неё, шарик разворачивается строго назад.
In addition, sometimes two figures can be in the same cell, something like this:	In addition, sometimes two figures can be in the same cell, something like this:	Кроме того, иногда две фигуры могут занимать одну клетку, вот как-то так:
The figures can be of different colors. The color of a shape determines its behavior.	The figures can be of different colors. The color of a shape determines its behavior.	Фигуры могут быть разных цветов. Цвет определяет их поведение.
Blue ones are stable and unchanging.	Blue ones are stable and unchanging.	Синие стабильны и неизменны.
Grey ones are just ghosts, they don't interact with the ball in any way.	Grey ones are just ghosts, they don't interact with the ball in any way.	Серые это просто призраки, они никак не взаимодействуют с шариком вообще.
Red ones after hitting turn to gray.	Red ones after hitting turn to gray.	Красные после попадания превращаются в серые.
Green ones are intangible, do not change the trajectory of the ball, but turn into blue.	Green ones are intangible at first hit, do not change the trajectory of the ball, but turn into blue.	Зелёные неосязаемы при первом попадании, не изменяют траекторию шарика, но превращаются в синие.
The stripes inside the figure increase its durability:	The stripes inside the figure increase its durability:	Полоски внутри фигуры увеличивают её стойкость.
